id,text,polarization
en_5fccba073da639cfac8284b11edc5ce1,nato expansion on russias border is not going with out a clap back,0
en_a4ffc5dcb426ebe2aceddc57b9ecbfef,migrant crisis puts democrats on defensive in nyc council,0
en_80652aaae0d432a6c1741f32f98177c4,i think trump lives and breathes fox news entertainment and doesnt fully understand reality,1
en_40a798544306c2f346c64f4424b521ab,israel closes border crossing to gaza workers after rockets fired palestinians denounce collective punishment,0
en_1b68d136fb9d1dd132f087a56020209c,you are refusing facts its a fact that you have national identity,0
en_7f6c91aaa49a62539d6cf4c372f58974,zionism creates antisemitism zionists create antisemites,1
en_60ba7fd2e26e9f048393cf60a8abc6ff,trumpism is not freedom but tyranny,1
en_c10c723778f5158e367d0002b33a9b8a,bam bam bam saddamhussein saddam socialism arabsocialism saddamism baathism saddamistbaathism panarabism feminism iraq,0
en_a427d9af0a84620b0530680dc32cde2a,nikki haley fends off gendered attacks as she runs for gop,0
en_438d26e961192bec14f605713117cec4,u s rep summer lee joins resolution calling for ceasefire,0
en_4657aaf1e95ef1ef3cdf6a9386892013,senate democrats decry unethical insulin costs,0
en_5079f54d768179b0297bc4f4bc0a8f8c,it is trumpism so basically yeah,0
en_28df66b279b58c8050956a906d1ee5cd,greg palast has been writing about this focusing mainly on voter suppression tactics,0
en_b88a00411e24026b7540ea1196807bee,fetterman loves fracking and ukrainian nazis,1
en_8b3987c4805e6ad7a57ea86c39f5b698,teaching african refugees to program javascript,0
en_2eccb2e825cb14770262b624aecec635,if republicans hate socialism why do red states need so much of it,1
en_584db00e75ba7f8fb7501033fbb6645e,its a clever anti immigration ploy turning the uk into an unattractive place for refugees and immigration torypolicy,1
en_505d9a827620bb3d4e186479996d80b1,after recount writein liam watson wins blacksburg town,0
en_c66f1dddf319cbf30a68e62951d1590c,the second amendment was written with muskets in mind,0
en_89c7f4b50798b5c4caa56ae1f5e4d265,sammy and wengatz hall directors recount residence,0
en_cf82a967319e72b5f5a39256781a4e63,gut feeling the ds is already in the electoral college,1
en_9728972172c54a6a09cffe3a5ccfede3,conservative news site illinois review critical of gop,0
en_7da321c68d0d25106291ba5f3ea3023d,donald trumps real estate fraud trial begins in new,0
en_3e100a4d5c10bf226ded963d76946d5d,mayor chip price stresses economic growth for siler city,0
en_e1b7927c76815ff63828dbe2843ad332,someone end this lunatic before he starts ethnic cleansing,1
en_f1f646615b50475ed3e6059edc2662ad,thank you president biden border security is working fentanyl intercepted,0
en_a73b7a3a6759f5ae6f5cc11a16ae1849,cant even interpret history in blue states ridiculous,1
en_a723abe18d5f8c7205e55ef3af38a807,us slaps new sanctions on israeli settlers over west bank,0
en_ea4883f3af80342fbac096ae921d51fe,fck giving socialism farm aid to farmers they voted against government help they voted for trump and republicans let them pull themselves up by their bootstraps,1
en_bfbd1a80a50d1cda2abc5597dd721d53,yes instead of changing course and embracing actual progressive policies please follow a no longer relevant playbook,1
en_90a6d5ae4b31bed1a5b8b4b7b997438f,where did all the propalestine antigenocide people go did they all stay on x or are they being suppressed here,1
en_09904f06814ca911b045ec746ac554ee,in tx the gov of state is trying to scare off undocasylum seekers by implying theyll be raped bsky appprofilekayl,1
en_df958f36dc3a5cfabb6362961cd2face,taking advantage of asylum seekers by forcing them into involuntary servitude to keep prices down that would be very on brand,1
en_396175465a5eaeb11d7e3b3329a1736b,you dont understand reason for electoral college then,0
en_35376c276193d44f4db679d1f0fb6a81,you people in blue states are now screwed they are emboldened,1
en_804a17c15ba2f639d0a69dfdf006b560,donald trump rallies voters in ankeny to get out for iowa,0
en_87ae7278ad9d0868652bf6256b89deb1,redneck firing guns into the sky with accompanying civilian casualties from either stray bullets or people can be utterly stupid,0
en_682565c926c1d8f01c5418ee6e7cf0d5,good its deeply flawed just like zionism,1
en_4fda14d63e2e094209e64443641dc71a,danbury democrats flip city council take supermajority,0
en_1928d730b87c4dbb3d91701178288e1c,voting rights bill state voter suppression bill,1
en_738438d931343612412c3d2a79477155,u s launches deportation operation to colombia using title border rule,0
en_c0079fa236a97227f5712c5f27ffd01a,donald trump jr jim banks recall bob knight promote,0
en_c7f07a0a2c0f0fa1e087793626168103,i bet it was done by the naz bears next special operation to denazification will be in siberia,1
en_89ba5949723e15fd78ce0317404d46b5,always fascinating watching replies to idf propaganda how many bots appear its not even subtle,1
en_f82bf24bb69513c098efddd005850030,dont forget we were sick of open borders and all the crime it brought trump won the popular vote that says it all,0
en_7b4831d3ada5ea2494ed758f198061c2,amid challenges israeli basketball team plays with a,0
en_34ef7e2f5bb5954f838b617d909aa34b,dear americans replacing wokism with trumpism is like replacing mild cold with explosive diarrhea,1
en_60e5bdc29a83fc6f9c96bc95cd37e595,show us this voter fraud rafael,0
en_388a4565ce46ba96ebf80186d02dcbb9,hamas sought to reach west bank with oct onslaught,0
en_ba055b0a1660eebc64cc35f710c8d97c,joe biden makes emergency weapons to israel,0
en_88910ec6e95b7b2fa3e3b23ea271bf43,voter suppression in maricopa they hate conservatives,1
en_d1810124360caf98a9c30f42ce2cc3c5,how did vote with me afford to purchase all the voter registration files in every state in the us thats a massive cost,0
en_a8d8e4963eee903979197b4b80b56eb0,abolish your he second amendment fuck this shit,1
en_eb195f45bb3a7feb3ea6cf369944fed8,wait until h n hits red states,1
en_b61ed96a2f4a136d5bc3a054e81b4b51,i love the smell of christian nationalism on new years eve blakeshelton,1
en_53d6dbefe9a281850852a5d8dba1704e,so your pronouns are hehimhis in fact theyre capitalized please remind the antiwoke mob,1
en_0be8aa64fb4d8c1f682b9390584d61b1,elon musk called out for raking in million a day from taxpayers msnbc,0
en_fd9572b359cd4e6cc8bd6c100998a85c,arming civvies who then get shot arent civilian casualties,1
en_9096f003456bae6709012e005853a18c,london stands together in the deportation of one sadio mane,0
en_916262970545987ad770c6900e2ec1f3,thank you ron filipowski for sharing this at least mike pence has some integrity,0
en_f98d20b1bc0f244de1f166dec050065e,amid the ukraine war are sanctions against russia working,0
en_37e131b43ab95cc888869f4c03bc1558,you know youre advocating for ethnic cleansing right thick fuck,1
en_1c61de954814bee0332003dded721e60,u s sees no credible threat to homeland as hamas calls,0
en_f52ed2865d5c798fa29c6843185df3d9,biden says no ceasefire in israelhamas war until hostages,0
en_e6305f2db54c18c0bb4c726f3898be1f,its because the masters of the uk police and politicians dont like the pro palestine protestors,1
en_626122183ce4d473e8484a570080b2a4,gop faction challenges ukraine policy does biden have,0
en_6366645e9cf023b689dc0df8ca3e5204,ua scholars develop model of types of fake news and,0
en_06a4b4c509635bf4175a74e7556d0cc5,kamala harris will be potus amendment section congressional jurisdiction has been invoked on,0
en_bd60cc61623951313cc33fa48e0ef7aa,local gop chair weighs in on trump indictment,0
en_0830864642397c734b29b3e125dba134,williamson county gop has new leadership,0
en_e5a37b8beb78a393ee5506eaf8b817c2,finally a corporation willing to fight back against the antiwoke mob,0
en_b77871de3a595badd7e8af776cf3cda7,former michigan gop spokesperson testifies fake elector,0
en_6bd3ba5e6e7505f55ae4fe9eede21424,donald shit head is a traitor,1
en_fcfc8d83a30240eb0ed89b7aa3789301,shit i dont know if im maga or ultra maga,0
en_0cdc7f8b92e96e99e9d6741c1ae2bd1d,didnt you request for his deportation,0
